Stage 31 => Total: 217, Pass: 206, noPass: 11, PassRate: 0.949309
Stage 32 => Total: 206, Pass: 202, noPass: 4, PassRate: 0.980583
Stage 33 => Total: 202, Pass: 199, noPass: 3, PassRate: 0.985149
Stage 34 => Total: 199, Pass: 171, noPass: 28, PassRate: 0.859296
Stage 35 => Total: 171, Pass: 156, noPass: 15, PassRate: 0.912281
Stage 36 => Total: 156, Pass: 146, noPass: 10, PassRate: 0.935897
Stage 37 => Total: 146, Pass: 135, noPass: 11, PassRate: 0.924658
Stage 38 => Total: 135, Pass: 134, noPass: 1, PassRate: 0.992593

Scale: 1.953125, FrameSum: 18875, P: 231, N: 18644, PFrate: 0.012238
Stage 1 => Total: 17600, Pass: 3815, noPass: 13785, PassRate: 0.216761
Stage 2 => Total: 3815, Pass: 2344, noPass: 1471, PassRate: 0.614417
Stage 3 => Total: 2344, Pass: 1237, noPass: 1107, PassRate: 0.527730
Stage 4 => Total: 1237, Pass: 1179, noPass: 58, PassRate: 0.953112
Stage 5 => Total: 1179, Pass: 964, noPass: 215, PassRate: 0.817642
Stage 6 => Total: 964, Pass: 723, noPass: 241, PassRate: 0.750000
Stage 7 => Total: 723, Pass: 695, noPass: 28, PassRate: 0.961272
Stage 8 => Total: 695, Pass: 662, noPass: 33, PassRate: 0.952518
Stage 9 => Total: 662, Pass: 636, noPass: 26, PassRate: 0.960725
Stage 10 => Total: 636, Pass: 595, noPass: 41, PassRate: 0.935535
Stage 11 => Total: 595, Pass: 569, noPass: 26, PassRate: 0.956303
Stage 12 => Total: 569, Pass: 544, noPass: 25, PassRate: 0.956063
Stage 13 => Total: 544, Pass: 505, noPass: 39, PassRate: 0.928309
Stage 14 => Total: 505, Pass: 489, noPass: 16, PassRate: 0.968317
Stage 15 => Total: 489, Pass: 484, noPass: 5, PassRate: 0.989775
Stage 16 => Total: 484, Pass: 436, noPass: 48, PassRate: 0.900826
Stage 17 => Total: 436, Pass: 418, noPass: 18, PassRate: 0.958716
Stage 18 => Total: 418, Pass: 414, noPass: 4, PassRate: 0.990431
Stage 19 => Total: 414, Pass: 384, noPass: 30, PassRate: 0.927536
